TIME,elapsed_time,ax,ay,az,gx,gy,gz,angx,angy,HEADING,temp,pressure,alt,lat,longi,gpsalt,light
2023-07-27 07:49:41,8.79539,-0.07,0.0,1.07,0.57,0.11,-0.13,-0.03,3.86,343.48,25.2,100738.0,1.03,36.365,127.346,0.0,60.0
2023-07-27 07:49:41,8.89216,-0.07,-0.01,1.07,0.33,-0.01,-0.18,-0.46,3.85,343.53,25.21,100740.0,0.92,36.365,127.346,0.0,61.0
2023-07-27 07:49:41,8.97842,-0.07,0.0,1.06,0.31,0.16,0.04,-0.24,3.53,343.39,25.2,100738.0,1.05,36.365,127.346,0.0,61.0
2023-07-27 07:49:41,9.05775,-0.07,-0.01,1.07,0.37,-0.02,-0.08,-0.35,3.79,342.62,25.21,100738.0,1.08,36.365,127.346,0.0,61.0
2023-07-27 07:49:41,9.13528,-0.07,-0.01,1.07,0.39,-0.14,-0.08,-0.45,3.85,343.99,25.21,100737.0,1.11,36.365,127.346,0.0,60.0
2023-07-27 07:49:41,9.24849,-0.07,-0.01,1.07,0.53,0.24,-0.23,-0.38,3.76,343.72,25.21,100739.0,0.96,36.365,127.346,0.0,60.0
2023-07-27 07:49:41,9.35758,-0.07,-0.01,1.07,0.19,-0.29,0.01,-0.43,3.7,343.72,25.21,100739.0,0.98,36.365,127.346,0.0,59.0
2023-07-27 07:49:41,9.46526,-0.08,-0.01,1.07,0.42,-0.18,-0.08,-0.47,4.07,343.07,25.21,100737.0,1.09,36.365,127.346,0.0,60.0
2023-07-27 07:49:42,9.81421,-0.07,-0.01,1.06,0.34,0.34,-0.19,-0.51,3.56,344.19,25.2,100740.0,0.91,36.365,127.346,0.0,59.0
2023-07-27 07:49:42,10.2318,-0.07,-0.01,1.07,0.38,0.18,-0.16,-0.27,3.93,343.66,25.21,100739.0,0.93,36.365,127.346,0.0,61.0
2023-07-27 07:49:42,10.3229,-0.07,-0.01,1.07,0.37,0.21,-0.15,-0.43,3.94,343.07,25.2,100738.0,1.06,36.365,127.346,0.0,59.0
2023-07-27 07:49:42,10.4174,-0.08,-0.01,1.07,0.25,0.0,0.18,-0.51,4.1,344.32,25.21,100737.0,1.15,36.365,127.346,0.0,59.0
2023-07-27 07:49:42,10.5103,-0.07,0.0,1.07,0.4,0.13,0.02,-0.14,3.97,343.21,25.21,100738.0,1.08,36.365,127.346,0.0,60.0
2023-07-27 07:49:42,10.5988,-0.07,-0.01,1.07,0.26,0.14,-0.17,-0.38,3.55,343.8,25.21,100738.0,1.09,36.365,127.346,0.0,60.0
